Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6294,Howl’s Moving Castle,Diana Wynne Jones,"Jones, Diana Wynne",,006441034X,9780064410342,,4.27,,,329,2001,1986,8/12/2020,2/02/2017,,,read,,,,2,,,,,,,,
24721702,Denton Little's Deathdate,Lance Rubin,"Rubin, Lance",,,,,3.83,,,368,2015,2015,2/04/2019,2/25/2017,,,read,,,,1,,,,,,,,
64207,Sorcery & Cecelia: or The Enchanted Chocolate Pot,Patricia C. Wrede,"Wrede, Patricia C.",,015205300X,9780152053000,,4.02,,,326,2004,1988,1/06/2018,3/16/2017,,,read,,,,1,,,,,,,,
30320053,Long May She Reign,Rhiannon Thomas,"Thomas, Rhiannon",,0062418688,9780062418685,,3.62,,,422,2017,2017,,4/04/2017,,,read,,,,1,,,,,,,,
316967,Bodega Dreams,Ernesto Quiñonez,"Quiñonez, Ernesto",,0375705899,9780375705892,,3.92,,,213,2000,2000,,5/11/2017,,,read,,,,1,,,,,,,,
30724132,Geekerella,Ashley Poston,"Poston, Ashley",,1594749477,9781594749476,,3.94,,,320,2017,2017,2/22/2018,5/15/2017,,,read,,,,1,,,,,,,,
29102792,Vincent and Theo: The Van Gogh Brothers,Deborah Heiligman,"Heiligman, Deborah",,0805093397,9780805093391,,3.91,,,454,2017,2017,,6/05/2017,,,read,,,,1,,,,,,,,
28954189,Scythe,Neal Shusterman,"Shusterman, Neal",,,,,4.33,,,435,2016,2016,12/17/2018,7/28/2017,,,read,,,,3,,,,,,,,
6933876,Changeless,Gail Carriger,"Carriger, Gail",,0316074144,9780316074148,,3.98,,,389,2010,2010,,8/29/2017,,,read,,,,1,,,,,,,,
7719355,Blameless,Gail Carriger,"Carriger, Gail",,0316074152,9780316074155,,3.99,,,355,2010,2010,,8/29/2017,,,read,,,,1,,,,,,,,
8356487,Heartless,Gail Carriger,"Carriger, Gail",,0316127191,9780316127196,,4.05,,,400,2011,2011,,8/29/2017,,,read,,,,1,,,,,,,,
11324166,Timeless,Gail Carriger,"Carriger, Gail",,,,,4.11,,,407,2012,2012,,8/29/2017,,,read,,,,1,,,,,,,,
32497573,Everyone's a Aliebn When Ur a Aliebn Too,Jomny Sun,"Sun, Jomny",,,,,4.08,,,256,2017,2017,9/25/2019,9/21/2017,,,read,,,,1,,,,,,,,
18283207,Strange Weather in Tokyo,Hiromi Kawakami,"Kawakami, Hiromi",,1846275083,9781846275081,,3.76,,,176,2013,2001,,10/02/2017,,,read,,,,1,,,,,,,,
23437156,Six of Crows,Leigh Bardugo,"Bardugo, Leigh",,1627792120,9781627792127,,4.49,,,465,2015,2015,,10/05/2017,,,read,,,,1,,,,,,,,
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",,0307269191,9780307269195,,3.86,,,188,2008,2007,,12/03/2017,,,read,,,,1,,,,,,,,
33590624,"A World Without ""Whom"": The Essential Guide to Language in the BuzzFeed Age",Emmy J. Favilla,"Favilla, Emmy J.",,1632867575,9781632867575,,3.72,,,311,2017,2017,6/09/2018,12/04/2017,,,read,,,,2,,,,,,,,
30781490,Word by Word: The Secret Life of Dictionaries,Kory Stamper,"Stamper, Kory",,110187094X,9781101870945,,4.19,,,296,2017,2017,2/14/2018,12/09/2017,,,read,,,,1,,,,,,,,
37368176,Strange Weather in Tokyo,Hiromi Kawakami,"Kawakami, Hiromi",,1640090169,9781640090163,,3.76,,,179,2017,2001,,12/12/2017,,,read,,,,1,,,,,,,,
